country_code,indicator,year,weeknum,last_year,country,continent,population,weekly_count,year_week,cumulative_count,source,rate_14_day,log_scale
ABW,cases,2021,52,True,Aruba,America,106766,255.0,2021-52,22020.0,Epidemic intelligence national data,4844.23880261507,3.6852255440708652
ABW,deaths,2021,52,True,Aruba,America,106766,3.0,2021-52,181.0,Epidemic intelligence national data,9.36627765393477,0.971567027862508
AFG,cases,2021,52,True,Afghanistan,Asia,38928341,149.0,2021-52,158156.0,Epidemic intelligence national data,0.922207293652714,-0.03517144730789242
AFG,deaths,2021,52,True,Afghanistan,Asia,38928341,7.0,2021-52,7361.0,Epidemic intelligence national data,0.667893861698345,-0.17529254791539325
AGO,cases,2021,52,True,Angola,Africa,32866268,471.0,2021-52,82920.0,Epidemic intelligence national data,51.8829822722799,1.715024931698278
AGO,deaths,2021,52,True,Angola,Africa,32866268,1.0,2021-52,1772.0,Epidemic intelligence national data,1.03449530685991,0.014728524765439092
AIA,cases,2021,52,True,Anguilla,America,15002,69.0,2021-52,1674.0,Epidemic intelligence national data,546.593787495001,2.7376646912571676
AIA,deaths,2021,52,True,Anguilla,America,15002,0.0,2021-52,5.0,Epidemic intelligence national data,66.657778962805,1.823850838873451
ALB,cases,2021,52,True,Albania,Europe,2845955,1990.0,2021-52,210885.0,Epidemic intelligence national data,179.482809812523,2.254022859816475
ALB,deaths,2021,52,True,Albania,Europe,2845955,32.0,2021-52,3220.0,Epidemic intelligence national data,18.9742986097813,1.2781657310480679
AND,cases,2021,52,True,Andorra,Europe,76177,1095.0,2021-52,24502.0,Epidemic intelligence national data,4515.79873190071,3.6547345772802133
AND,deaths,2021,52,True,Andorra,Europe,76177,3.0,2021-52,140.0,Epidemic intelligence national data,39.3819656851806,1.5952973894283458
ARE,cases,2021,52,True,United Arab Emirates,Asia,9890400,1335.0,2021-52,769608.0,Epidemic intelligence national data,257.532556822778,2.4108321396091066
ARE,deaths,2021,52,True,United Arab Emirates,Asia,9890400,0.0,2021-52,2169.0,Epidemic intelligence national data,1.8199466148993,0.26005864886711266
ARG,cases,2021,52,True,Argentina,America,45195777,33077.0,2021-52,5739245.0,Epidemic intelligence national data,761.577790774567,2.8817142706118553
ARG,deaths,2021,52,True,Argentina,America,45195777,138.0,2021-52,117245.0,Epidemic intelligence national data,6.96967772011089,0.8432126966613644
ARM,cases,2021,52,True,Armenia,Europe,2963234,1104.0,2021-52,345036.0,Epidemic intelligence national data,44.8159004655049,1.651432126928217
ARM,deaths,2021,52,True,Armenia,Europe,2963234,84.0,2021-52,7983.0,Epidemic intelligence national data,26.9975304009066,1.4313240388881625
ASM,cases,2021,52,True,American Samoa,Oceania,55197,0.0,2021-52,11.0,Epidemic intelligence national data,1.8116926644564,0.25808452587318176
ASM,deaths,2021,52,True,American Samoa,Oceania,55197,0.0,2021-52,0.0,Epidemic intelligence national data,0.0,-inf
ATG,cases,2021,52,True,Antigua And Barbuda,America,97928,21.0,2021-52,4259.0,Epidemic intelligence national data,62.2906625275713,1.7944229500832942
ATG,deaths,2021,52,True,Antigua And Barbuda,America,97928,0.0,2021-52,118.0,Epidemic intelligence national data,10.2115840209133,1.009093115072526
AUS,cases,2021,52,True,Australia,Oceania,25499881,19975.0,2021-52,499958.0,Epidemic intelligence national data,977.377110112788,2.990062163760995
AUS,deaths,2021,52,True,Australia,Oceania,25499881,40.0,2021-52,2266.0,Epidemic intelligence national data,4.70590431382797,0.6726430923259805
AUT,cases,2021,52,True,Austria,Europe,8901064,23268.0,2021-52,1283321.0,TESSy COVID-19,426.083892891906,2.6294951170204905
AUT,deaths,2021,52,True,Austria,Europe,8901064,81.0,2021-52,13283.0,TESSy COVID-19,19.9976092745766,1.3009780786179779
AZE,cases,2021,52,True,Azerbaijan,Europe,10139175,5838.0,2021-52,617679.0,Epidemic intelligence national data,72.5995951347126,1.8609341987820427
AZE,deaths,2021,52,True,Azerbaijan,Europe,10139175,111.0,2021-52,8375.0,Epidemic intelligence national data,17.3584142694056,1.2395100488645545
BDI,cases,2021,52,True,Burundi,Africa,11890781,1446.0,2021-52,27366.0,Epidemic intelligence national data,43.3445036116635,1.636934033704594
BDI,deaths,2021,52,True,Burundi,Africa,11890781,0.0,2021-52,14.0,Epidemic intelligence national data,0.0,-inf
BEL,cases,2021,52,True,Belgium,Europe,11522440,77857.0,2021-52,2132409.0,TESSy COVID-19,1067.5343069697,3.02838184068837
BEL,deaths,2021,52,True,Belgium,Europe,11522440,155.0,2021-52,27980.0,TESSy COVID-19,32.3716157341674,1.5101643764776758
BEN,cases,2021,52,True,Benin,Africa,12123198,10.0,2021-52,24935.0,Epidemic intelligence national data,0.230962160314465,-0.6364591669162886
BEN,deaths,2021,52,True,Benin,Africa,12123198,0.0,2021-52,161.0,Epidemic intelligence national data,0.0,-inf
BES,cases,2021,52,True,"Bonaire, Saint Eustatius And Saba",America,26221,32.0,2021-52,3648.0,Epidemic intelligence national data,1819.15258762061,3.2598691285205117
BES,deaths,2021,52,True,"Bonaire, Saint Eustatius And Saba",America,26221,0.0,2021-52,23.0,Epidemic intelligence national data,38.1373708096564,1.581350749480398
BFA,cases,2021,52,True,Burkina Faso,Africa,20903278,338.0,2021-52,17632.0,Epidemic intelligence national data,4.59258112531441,0.6620568366088116
BFA,deaths,2021,52,True,Burkina Faso,Africa,20903278,6.0,2021-52,318.0,Epidemic intelligence national data,1.05246650788455,0.022208284391448577
BGD,cases,2021,52,True,Bangladesh,Asia,164689383,1373.0,2021-52,1584023.0,Epidemic intelligence national data,1.7851788296517,0.2516817279220415
BGD,deaths,2021,52,True,Bangladesh,Asia,164689383,17.0,2021-52,28062.0,Epidemic intelligence national data,0.0850085156976998,-1.0705375668118788
BGR,cases,2021,52,True,Bulgaria,Europe,6951482,14302.0,2021-52,748184.0,TESSy COVID-19,343.049151245734,2.5353563491550686
